Rank,Change,Player,School,Position,Height,Weight,Position2,Date
248,-6,Ty Chandler,Tennessee,RBC,"5'11""",201,JR,2020-01-03
249,-6,Harrison Bryant,Florida Atlantic,TE,"6'5""",240,SR,2020-01-03
250,-5,Ifeanyi Maijeh,Temple,DL3T,"6'2""",285,RSO,2020-01-03
251,-5,Cale Garrett,Missouri,ILB,"6'3""",230,SR,2020-01-03
252,-5,Marlon Tuipulotu,USC,DL3T,"6'3""",305,RSO,2020-01-03
253,-5,Keisean Lucier-South,UCLA,EDGE,"6'4""",235,SR,2020-01-03
254,-5,Kendall Coleman,Syracuse,EDGE,"6'3""",266,SR,2020-01-03
255,-5,T.J. Carter,Memphis,CB,"5'11""",180,JR,2020-01-03
256,-5,Bryce Perkins,Virginia,QB,6'3'',215,SR,2020-01-03
257,-5,Darius Anderson,TCU,RBF,"5'11""",212,SR,2020-01-03
258,-5,Sean Pollard,Clemson,OC,"6'5""",320,SR,2020-01-03
259,-5,John Lako,Akron,ILB,"6'2""",225,SR,2020-01-03
260,-5,Brendon Hayes,UCF,DL5T,"6'3""",293,RSR,2020-01-03
261,-5,Jason Strowbridge,North Carolina,DL3T,"6'3""",285,SR,2020-01-03
262,-5,A.J. Green,Oklahoma State,CB,"6'1""",194,SR,2020-01-03
263,NEW,Lynn Bowden Jr.,Kentucky,WRF,"6'1""",199,JR,2020-01-03
264,-5,Myles Dorn,North Carolina,S,"6'1""",198,SR,2020-01-03
265,-5,Carlos Davis,Nebraska,DL3T,"6'2""",320,SR,2020-01-03
266,-5,Benning Potoa'e,Washington,DL3T,"6'3""",290,SR,2020-01-03
267,+22,Jessie Lemonier,Liberty,EDGE,"6'3""",240,SR,2020-01-03
268,-6,Eric Lee Jr.,Nebraska,S,"6'0""",215,SR,2020-01-03
269,-6,Jeremy Chinn,Southern Illinois,S,"6'3""",208,SR,2020-01-03
270,-6,Breiden Fehoko,LSU,DL5T,"6'4""",291,SR,2020-01-03
271,-6,Joshua Kelley,UCLA,RBF,"5'11""",204,SR,2020-01-03
272,-6,Jaquarius Landrews,Mississippi State,S,"5'11""",197,SR,2020-01-03
273,-6,DeMarkus Acy,Missouri,CB,"6'2""",195,SR,2020-01-03
274,-6,Daniel Bituli,Tennessee,ILB,"6'3""",244,SR,2020-01-03
275,+119,Adam Trautman,Dayton,TE,"6'5""",250,RSR,2020-01-03
276,-7,Tre Walker,San Jose State,WRS,5'11'',180,JR,2020-01-03
277,-7,De'Jon Harris,Arkansas,ILB,"6'0""",244,SR,2020-01-03
278,-7,Shea Patterson,Michigan,QB,"6'2""",200,SR,2020-01-03
279,-7,Jay Tufele,USC,DL3T,"6'3""",310,RSO,2020-01-03
280,-7,Broderick Washington Jr.,Texas Tech,DL3T,"6'3""",305,SR,2020-01-03
281,-7,John Penisini,Utah,DL3T,"6'2""",320,SR,2020-01-03
282,-7,Jordon Scott,Oregon,DL1T,"6'1""",329,JR,2020-01-03
